Macro Category	Subcategory	2025		2028			Need State(s)			Micro-Category Association (With Key Need State)				Front End Innovation Space(s)		Sub-Category Cluster
Coffee	Espresso-based drinks	211.23	113.00%	283.50	43.0%		Fuel	Focus Fuel		Fuel	Nuanced Fuel	Pre-Performance	Meeting-Prep Fuel Drinks	Steady Mental Fuel	Focus and Flow	1. Single espresso, 2. Double espresso, 3. Americano, 4. Cappuccino, 5. Café latte
Coffee	Filter coffee	142.30	56.20%	237.90	14.5%		Fuel	Focus Fuel	Selfcare Sips	Fuel	Sustained Fuel	Green Tea Blends	Long-Study Tea Drinks	Steady Mental Fuel	Focus and Flow	1. South Indian decoction, 2. Chicory-blend filter coffee
Dairy-based beverages	Flavored milk	427.10	51.00%	277.62	-4.0%		Delight	My Treat Time	Healthy Habits	Delight	Everyday Guilt-Free Micro-Delight	Small Packs	Lite Dairy-Adjacency Treats	Enchanting The Senses	Sensorial Delight	1. Chocolate milk, 2. Strawberry milk, 3. Turmeric milk, 4. Elaichi milk, 5. Kesar Milk
Non-fruit juices	Fresh coconut water	172.58	17.00%	348.34	67.7%		Enhance	Healthy Habits	Basic Refreshment	Enhance	Democratization of Enhance	₹20–40 Wellness Formats	Pocket Wellness Hydration	Hydration For Vitality	Rapid Rehydration	1. Tender coconut water, 2. Coconut water with malai
Fruit Juices	Fruit nectar	2.79	37.00%	1.98	15.0%		Delight	My Treat Time	Routine Refreshment	Delight	Everyday Guilt-Free Micro-Delight	Small Packs	Mini Dessert Drinks	Enchanting The Senses	Sensorial Delight	1. Mango nectar, 2. Guava nectar, 3. Mixed fruit nectar, 4. Litchi nectar
Sparkling soft drinks	Ginger ale	291.95	437.20%	476.80	157.0%		Escape	Escape	Social Indulgence	Escape	Smooth Escape	Light Sparkling	Soft Fizz Drinks	Enchanting The Senses	Sensorial Delight	1. Classic ginger ale
Fruit Juices	Glow Juices (Skin Health focused)	455.45	168.00%	165.78	-15.3%		Enhance	Conscious Wellbeing	Routine Refreshment	Enhance	Specificity	Skin Care	Collagen Glow Drinks	Enhancing Wellspans	Healthy Skin and Beauty	1. Collagen juice blend, 2. Pomegranate glow juice, 3. Carrot-orange glow juice
Tea	Green tea	116.56	34.59%	365.85	145.1%		Enhance	Healthy Habits	Selfcare Sips	Enhance	Everyday Versions of Enhance	Grab-and-Go	Portable Morning Habit Drinks	Targeted Health Support	Weight Wellness	1. Plain green tea, 2. Honey-lemon green tea, 3. Tulsi green tea, 4. Mint green tea
Energy drinks	Hangover Recovery Drinks	3.20	12.40%	24.53	2.0%		Balance	Selfcare Sips	Focus Fuel	Balance	Gentle Reset	Travel Recovery Hydration	Travel Recovery Hydration	Mood Mastery	Restoration and Calm	
Tea	Herbal Iced Tea	1.02	193.00%	28.00	105.2%		Refresh	Routine Refreshment	Conscious Wellbeing	Refresh	Sustained Refresh	Adaptogen Refresh Drinks	Calm-Focus Sparkling	Enhancing Wellspans	Cognitive Health	1. Hibiscus iced tea, 2. Tulsi iced tea, 3. Green tea herbal blend
Non-fruit juices	Herbal juice drinks	197.06	79.00%	106.50	24.0%		Enhance	Healthy Habits		Enhance	Democratization of Enhance	₹20–40 Wellness Formats	₹20 Functional Shots	Targeted Health Support	Digestive Relief	1. Amla juice, 2. Karela juice, 3. Giloy juice, 4. Tulsi herbal blend
Traditional beverages	Herbal Kadha	39.09	124.00%	235.13	96.2%		Enhance	Healthy Habits	Selfcare Sips	Enhance	Everyday Versions of Enhance	Grab-and-Go	Portable Morning Habit Drinks	Targeted Health Support	Immunity	1. Tulsi-ginger kadha, 2. Turmeric kadha, 3. Pepper (kali mirch) kadha, 4. Immunity kadha blend
Tea	Herbal tea	83.80	75.00%	92.93	11.4%		Balance	Mood Boost	Healthy Habits	Balance	Calm Energy	Calm Focus	Herbal Focus Drinks	Mood Mastery	Restoration and Calm	1. Tulsi tea, 2. Ginger tea, 3. Lemongrass tea, 4. Lavender tea, 5. Mulethi tea
Dairy-based beverages	Hot chocolate (milk)	58.19	104.30%	454.64	74.3%		Balance	Mood Boost	My Treat Time	Balance	Wind-down Balance	Sleep Support	Low-Sugar Night Drinks	Mood Mastery	Restoration and Calm	1. Classic milk hot chocolate, 2. Dark hot chocolate, 3. Hazelnut hot chocolate, 4. Marshmallow & hot chocolate
Tea	Iced tea	5.93	94.30%	247.33	166.0%		Refresh	Routine Refreshment		Refresh	Sustained Refresh	Long-Energy Hydration RTDs	All-Day Refresh RTDs	Enchanting The Senses	Refreshment Reinvented	1. Lemon iced tea, 2. Peach iced tea, 3. Mint iced tea
Flavored water	Infused water	344.95	188.00%	40.09	26.1%		Balance	Routine Refreshment		Balance	Daily Stabilizer	Fibre Hydration	Fibre Water RTDs	Hydration For Vitality	Accessible Hydration	1. Cucumber mint water, 2. Lemon basil water, 3. Orange cinnamon water, 4. Berry-infused water
Coffee	Instant coffee	93.62	28.00%	460.23	63.4%		Fuel	Focus Fuel		Fuel	Nuanced Fuel	Morning Ignition	Habit Ignition Minis	Steady Mental Fuel	Clear Mind	1. Classic instant black, 2. Instant latte sachet, 3. Cappuccino sachet, 4. Chicory-blend instant, 5. Iced coffee instant mix
Traditional beverages	Jaljeera	18.10	32.32%	91.53	72.4%		Enhance	Healthy Habits	Performance Fuel	Enhance	Specificity	Gut Health × Occasions	Post-Heavy-Meal Digestive Drinks	Enhancing Wellspans	Sustained Everyday Vitality	
Fruit Juices	Juice concentrates	29.15	293.00%	34.58	89.2%		Refresh	Basic Refreshment		Refresh	Daily Restoration	Everyday Electrolytes	Mild Fatigue Recovery Drinks	Hydration For Vitality	Accessible Hydration	1. Orange squash concentrate, 2. Mango syrup concentrate, 3. Mixed fruit squash
Fruit Juices	Juice shots	181.01	183.00%	322.71	18.2%		Enhance	Healthy Habits	Focus Fuel	Enhance	Democratization of Enhance	₹20–40 Wellness Formats	₹20 Functional Shots	Targeted Health Support	Immunity	1. Ginger shot, 2. Turmeric shot, 3. Wheatgrass shot, 4. Amla shot
Traditional beverages	Kanji	169.41	122.00%	114.20	41.8%		Enhance	Conscious Wellbeing	My Treat Time	Enhance	Specificity	Gut Health × Occasions	Daily Probiotic Hydration	Targeted Health Support	Microbiome Balance	
Tea	Kashmiri Kahwa	11.19	26.00%	59.92	30.4%		Fuel	Focus Fuel		Fuel	Mental Fuel	Light Focus RTDs	Calm-Focus Drinks	Steady Mental Fuel	Focus and Flow	1. Saffron kahwa, 2. Almond kahwa, 3. Spiced green kahwa
Sparkling soft drinks	Lavender Tea	0.19	12.00%	128.34	86.3%		Refresh	Routine Refreshment		Refresh	Sustained Refresh	Adaptogen Refresh Drinks	Calm-Focus Sparkling	Mood Mastery	Mood Lift	1. Classic lemon-lime soda, 2. Masala nimbu soda
Tea	Lemon/lime soda	849.20	165.00%	232.49	27.4%		Fuel	Focus Fuel		Fuel	Nuanced Fuel	Slump Reset	Desk Reset Drinks	Steady Mental Fuel	Focus and Flow	1. Darjeeling Loose leaf Tea, 2. Assam Loose Leaf Tea, 3. Nilgiri Loose Leaf tea
Dairy-based beverages	Loose leaf tea	5.50	123.20%	128.88	161.2%		Enhance	Healthy Habits		Enhance	Everyday Versions of Enhance	Grab-and-Go	Portable Morning Habit Drinks	Enhancing Wellspans	Sustained Everyday Vitality	1. Chocolate malt drink, 2. Vanilla malt drink, 3. Classic fortified malt mix, 4. Malt + protein blend
Dairy-based beverages	Malted milk drinks	35.46	9.00%	105.40	65.7%		Fuel	Conscious Wellbeing	My Treat Time	Fuel	Sustained Fuel	Clear Protein RTDs	Meal-Lite Fuel Drinks	Enhancing Wellspans	Sustained Everyday Vitality	1. Banana smoothie, 2. Mixed berry smoothie, 3. Peanut butter smoothie, 4. Dates smoothie, 5. Oats smoothie
Tea	Milk tea	310.59	81.00%	173.45	-3.4%		Fuel	Focus Fuel		Fuel	Sustained Fuel	Green Tea Blends	Calm-Energy Tea Drinks	Enchanting The Senses	Cultural Inspiration	1. Cutting chai, 2. Masala chai, 3. Ginger chai, 4. Elaichi chai
Dairy-based beverages	Milk-based probiotic drinks	45.10	26.00%	23.51	10.0%		Enhance	Conscious Wellbeing		Enhance	Specificity	Gut Health × Occasions	Daily Probiotic Hydration	Targeted Health Support	Immunity	1. Sweet probiotic yogurt drink, 2. Strawberry probiotic drink, 3. Mango probiotic drink, 4. Lassi-style probiotic drink
Dairy-based beverages	Milkshake	975.24	17.00%	488.39	-12.0%		Delight	My Treat Time	Performance Fuel	Delight	Sensory Theatre Drinks	Café RTDs	Milkshake-Style RTDs	Enchanting The Senses	Sensorial Delight	1. Vanilla milkshake, 2. Banana milkshake, 3. Mango milkshake, 4. Chikoo milkshake, 5. Strawberry milkshake
Non-fruit juices	Mixed vegetable blends	82.40	277.94%	250.34	-20.0%		Enhance	Healthy Habits		Enhance	Specificity	Gut Health × Occasions	Festival Detox Drinks	Targeted Health Support	Weight Wellness	
Energy drinks	Natural energy drinks	173.75	118.00%	59.63	76.0%		Enhance	Focus Fuel	Conscious Wellbeing	Enhance	Everyday Versions of Enhance	Grab-and-Go	Office Desk Wellness Drinks	Steady Mental Fuel	Clean, Natural Mental Fuel	1. Green tea–based energy drink, 2. Yerba mate drink, 3. Herbal caffeine energy drink, 4. Fruit-based natural energy drink
Traditional beverages	Nimbu Paani	209.45	65.30%	424.57	32.5%		Refresh	Basic Refreshment	My Treat Time	Refresh	Daily Restoration	Everyday Electrolytes	Lite Daily Electrolyte Drinks	Enchanting the Senses	Refreshment Reinvented	
Sparkling soft drinks	Non-Diet Colas	413.38	-9.00%	209.73	-4.0%		Fuel	Performance  fuel	Focus Fuel	Fuel	Nuanced Fuel	Slump Reset	Desk Reset Drinks	Hydration for Vitality	Performance Hydration, Sensorial Delight	1. Classic regular cola, 2. Flavored cola, 3. Masala/Jeera Cola
Coffee	Nootropic coffee	1.34	242.91%	136.29	86.0%		Fuel	Focus Fuel	Healthy Habits	Fuel	Mental Fuel	Micro-Dose Adaptogens	Creative Reboot Drinks	Enhancing Wellspans	Cognitive Health	1. Coffee + ginseng, 2. Coffee + bacopa blend, 3. Adaptogen coffee blend, 4. Coffee + L-theanine blend
Coffee	Oat milk coffee	3.28	59.00%	1.95	13.0%		Enhance	Conscious Wellbeing	My Treat Time	Enhance	Control	Low Sugar	Lite Dessert Drinks	Targeted Health Support	Digestive Relief	1. Oat milk latte, 2. Iced oat latte, 3. Oat mocha, 4. Oat cappuccino, 5. Spiced oat latte (cinnamon/cardamom)
Sparkling soft drinks	Orange soda	278.53	15.00%	132.98	-24.0%		Enhance	Healthy Habits	Routine Refreshment	Enhance	Everyday Versions of Enhance	Healthy Fizz	Vitamin Sparkling Waters	Enchanting The Senses	Sensorial Delight	1. Classic orange soda, 2. Tangy orange soda
Energy drinks	ORS drinks	90.24	62.00%	306.61	58.2%		Enhance	Routine Refreshment		Enhance	Democratization of Enhance	₹20–40 Wellness Formats	Pocket Wellness Hydration	Hydration For Vitality	Elevated Water Functionality	1. Classic saline ORS, 2. Orange ORS drink, 3. Lemon ORS drink, 4. Ready-to-drink electrolyte solution
Non-fruit juices	Packaged coconut water	56.30	177.20%	415.29	145.0%		Refresh	Healthy Habits	Basic Refreshment	Refresh	Daily Restoration	Everyday Electrolytes	Lite Daily Electrolyte Drinks	Hydration For Vitality	Rapid Rehydration	1. Plain coconut water bottle
Traditional beverages	Panakam	97.18	170.00%	130.50	11.4%		Refresh	Basic Refreshment	Healthy Habits	Refresh	Context Refresh	Heatwave Survival SKUs	High-Salt Heat Recovery Drinks	Hydration For Vitality	Rapid Rehydration	
Plant-based Non-Dairy Beverages	Plant protein drinks	2.09	-50.00%	0.53	-17.0%		Enhance	Conscious Wellbeing		Enhance	Specificity	Everyday Protein Hydration	Plant Protein Hydration	Enhancing Wellspans	Active Movement	1. Pea protein RTD shake, 2. Vegan chocolate protein shake, 4. Plant protein smoothie blend
Energy drinks	Pre-workout RTD drinks	25.47	162.20%	343.06	182.3%		Fuel	Performance Fuel	Healthy Habits	Fuel	Nuanced Fuel	Pre-Performance	Pre-Workout Lite Fuel Drinks	Enhancing Wellspans	Active Movement	1. Caffeine + creatine RTD blend, 2. Performance boost RTD bottle, 3. BCAA RTD drink, 4. Nitric oxide booster RTD
Energy drinks	Preworkout Energy shot	11.34	372.20%	26.29	173.3%		Fuel	Focus Fuel		Fuel	Nuanced Fuel	Pre-Performance	Pre-Workout Lite Fuel Drinks	Steady Mental Fuel	Focus and Flow	1. High Caffeine shot, 2. Fat-burner Shots, 3. Nitric Oxide Shots
Dairy-based beverages	Protein milkshake	444.19	347.50%	250.10	-20.0%		Enhance	Conscious Wellbeing	My Treat Time	Enhance	Specificity	Everyday Protein Hydration	Protein Dairy-Adjacency Drinks	Enhancing Wellspans	Active Movement	1. Chocolate whey shake, 2. Vanilla whey shake, 3. Cookies & cream protein shake, 4. Peanut butter protein shake, 5. Unflavored whey shake
Flavored water	Protein Water RTD	25.20	49.80%	78.36	121.0%		Enhance	Conscious Wellbeing	Routine Refreshment	Enhance	Everyday Versions of Enhance	Grab-and-Go	On-the-Go Protein Hydration	Enhancing Wellspans	Active Movement	1. Lemon protein water, 2. Berry protein water, 3. Collagen-infused water, 4. Clear whey protein water
Traditional beverages	Ragi malt drink	68.05	27.00%	116.76	-15.6%		Enhance	Healthy Habits	Performance Fuel	Enhance	Democratization of Enhance	₹20–40 Wellness Formats	Daily Health RTD Minis	Enhancing Wellspans	Sustained Everyday Vitality	1. Sweet ragi malt, 2. Chocolate ragi drink, 3. Almond-ragi milk drink
Coffee	Ready-to-drink coffee	21.82	33.30%	60.09	67.0%		Fuel	My Treat Time		Fuel	Nuanced Fuel	Morning Ignition	Light Caffeine Electrolyte Drinks	Steady Mental Fuel	Enduring Mental Fuel	1. Canned/bottled iced latte, 2. Canned black coffee, 3. Mocha RTD, 4. Sweetened milk coffee RTD, 5. Unsweetened black RTD
Traditional beverages	Salted lassi	17.92	50.00%	98.20	113.0%		Enhance	Healthy Habits	Routine Refreshment	Enhance	Control	Low Sugar	Lite Dessert Drinks	Targeted Health Support	Microbiome Balance	
Traditional beverages	Sattu drink	119.56	-27.00%	82.77	23.0%		Fuel	Performance Fuel	Basic Refreshment	Fuel	Sustained Fuel	Clear Protein RTDs	Protein + Electrolyte Fuels	Enhancing Wellspans	Sustained Everyday Vitality	1. Salted sattu drink, 2. Sweet sattu drink, 3. Sattu with lemon & jeera
Traditional beverages	Sherbets	305.71	45.00%	120.79	13.7%		Delight	Social Indulgence	Routine Refreshment	Delight	Cultural Drops	Festival Editions	Summer Fruit Drops	Enchanting The Senses	Cultural Inspiration	1. Rose sherbet, 2. Khus sherbet, 3. Kokum sherbet, 4. Kesar sherbet, 5. Nannari Sherbet
Fruit Juices	Smoothie-style fruit juices	458.33	121.00%	37.76	-2.0%		Fuel	Performance Fuel	My Treat Time	Fuel	Sustained Fuel	Clear Protein RTDs	Meal-Lite Fuel Drinks	Enhancing Wellspans	Sustained Everyday Vitality	1. Mango smoothie drink, 2. Strawberry banana smoothie, 3. Avocado smoothie, 4. Mixed berry smoothie
Plant-based Non-Dairy Beverages	Soy milk beverages	2.53	45.00%	76.73	93.0%		Enhance	Healthy Habits	Selfcare Sips	Enhance	Specificity	Everyday Protein Hydration	Plant Protein Hydration	Enhancing Wellspans	Sustained Everyday Vitality	1. Plain soy milk, 2. Chocolate soy milk, 3. Vanilla soy drink, 4. Fortified soy beverage
Flavored water	Sparkling flavored water	432.99	482.00%	112.40	49.6%		Refresh	Routine Refreshment	My Treat Time	Refresh	Sustained Refresh	Electrolyte Sparkling Hydration	Hydration+ Sparkling	Enchanting The Senses	Refreshment Reinvented	
Energy drinks	Sports hydration drinks	150.70	40.00%	327.45	82.0%		Fuel	Performance Fuel	Conscious Wellbeing	Fuel	Sustained Fuel	Electrolyte + Adaptogen	Stability Fuel Drinks	Hydration For Vitality	Performance Hydration	1. Classic lemon/orange drink, 2. Glucose-based sports drink, 3. Powder-mix sports drink
Energy drinks	Sugar-free energy drinks	73.20	124.00%	421.30	156.0%		Fuel	Focus Fuel	Conscious Wellbeing	Fuel	Nuanced Fuel	Slump Reset	Low-Sugar Energy Lemonades	Steady Mental Fuel	Clear Mind	1. Zero-sugar classic energy drink, 2. Stevia-sweetened energy drink, 3. Keto-friendly energy drink, 4. Sugar-free tropical variant
Non-fruit juices	Sugarcane juice	626.70	33.00%	111.87	13.0%		Refresh	Basic Refreshment	Performance Fuel	Refresh	Context Refresh	Heatwave Survival SKUs	Outdoor Worker Hydration Drinks	Enchanting The Senses	Naturally Wonderful	1. Fresh ganne ka juice, 2. Sugarcane + lemon + ginger mix, 3. Minty Sugarcane juice
Traditional beverages	Sweet lassi	105.27	25.00%	141.19	39.0%		Delight	My Treat Time	Performance Fuel	Delight	Everyday Guilt-Free Micro-Delight	Small Packs	Lite Dairy-Adjacency Treats	Enchanting The Senses	Sensorial Delight	1. Plain sweet lassi, 2. Mango lassi, 3. Kesar lassi, 4. Malai lassi, 5. Sweet and Salted Lassi
Traditional beverages	Thandai	206.64	154.00%	219.30	21.2%		Delight	Social Indulgence	Healthy Habits	Delight	Cultural Drops	Festival Editions	Indian Festival Drinks	Enchanting The Senses	Cultural Inspiration	
Dairy-based beverages	Thickshake	43.43	31.00%	70.20	82.0%		Delight	Social Indulgence		Delight	Sensory Theatre Drinks	Dessert Codes Lite	Ice-Cream-Inspired Drinks	Enchanting The Senses	Sensorial Delight	1. Chocolate thickshake, 2. Oreo thickshake, 3. Brownie thickshake, 4. Mango thickshake, 5. Vanilla thickshake
Tea	Turmeric Tea	10.67	6.60%	16.82	4.1%		Enhance	Conscious Wellbeing	Selfcare Sips	Enhance	Everyday Versions of Enhance	Grab-and-Go	Portable Morning Habit Drinks	Targeted Health Support	Immunity	
Flavored water	Vitamin water	152.20	77.20%	36.07	5.6%		Enhance	Healthy Habits	Routine Refreshment	Enhance	Democratization of Enhance	₹20–40 Wellness Formats	Pocket Wellness Hydration	Enhancing Wellspans	Sustained Everyday Vitality	1. Vitamin C water, 2. Immunity water blend, 3. Multivitamin hydration drink, 4. Electrolyte + vitamin water
Non-fruit juices	Wheatgrass juice	34.26	20.00%	112.80	33.0%		Enhance	Conscious Wellbeing		Enhance	Democratization of Enhance	₹20–40 Wellness Formats	₹20 Functional Shots	Targeted Health Support	Immunity	1. Wheatgrass shot, 2. Wheatgrass + amla shot, 3. Wheatgrass detox blend
Dairy-based beverages	Yogurt drink	71.19	-23.00%	90.67	24.0%		Enhance	Conscious Wellbeing		Enhance	Specificity	Gut Health × Occasions	Daily Probiotic Hydration	Targeted Health Support	Microbiome Balance	1. Plain drinkable yogurt (sweetened), 2. Strawberry yogurt drink, 3. Mango yogurt drink, 4. Blueberry/mixed berry yogurt drink
Vitality Drinks	Shilajit Drinks	6.6	12%	2.18	2.20%		Enhance	Conscious Wellbeing		Enhance	Specificity	Super Functional Drinks	Male Vitality	Enhancing Wellspans	Sustained Everyday Vitality	
Vitality Drinks	Adaptogen-infused Drinks	0.7	28%	3.60	9.80%		Enhance	Conscious Wellbeing		Enhance	Specificity	Super Functional Drinks	Male Vitality	Enhancing Wellspans	Sustained Everyday Vitality	
Fruit Juices	Ready-to-drink Mango Drinks	2.7	2.60%	4.18	5.76%		Delight	My Treat Time		Delight	Everyday Guilt-Free Micro-Delight	Small Packs	Mini Dessert Drinks	Enchanting The Senses	Naturally Wonderful	
Vitality Drinks	Ashwagandha Drinks	8.16	92%	5.23	-8.13%		Enhance	Conscious Wellbeing		Enhance	Specificity	Super Functional Drinks	Male Vitality	Enhancing Wellspans	Sustained Everyday Vitality	
Dairy-based Beverages	Protein Buttermilk	23.43	103%	12.18	-4.36%		Enhance	Conscious Wellbeing		Enhance	Specificity	Gut Health × Occasions	Daily Probiotic Hydration	Enchanting The Senses	Cultural Inspiration	
Vitality Drinks	Brahmi Drinks	2.38	68.32%	1.16	-8.76%		Enhance	Conscious Wellbeing		Enhance	Specificity	Super Functional Drinks	Male Vitality	Enhancing Wellspans	Sustained Everyday Vitality	
Vitality Drinks	Ginseng Drinks	1.82	33.26%	0.82	-26.16%		Enhance	Conscious Wellbeing		Enhance	Specificity	Super Functional Drinks	Male Vitality	Enhancing Wellspans	Sustained Everyday Vitality	
Tea	Kombucha	143.98	109%	63.44	21.90%		Balance	Selfcare Sips		Balance	Wind-down Balance	Evening Relax	Light Treat Relax Drinks	Enchanting The Senses	Refreshment Reinvented	
Vitality Drinks	Tulsi Mint Water	3.67	1%	0.21	-29.80%		Enhance	Conscious Wellbeing		Enhance	Specificity	Super Functional Drinks	Male Vitality	Enhancing Wellspans	Sustained Everyday Vitality	
Non-fruit juices	Mocktail Mixes	14.4	-4%	7.42	-7%		Escape	Escape		Escape	Sensory Theatre Drinks	Café RTDs	Social Escape	Enchanting The Senses	Refreshment Reinvented	
Sparkling soft drinks	Sparkling Health Drinks	2.8	1.30%	2.2	0.70%		Enhance	Routine Refreshment	Consious Wellbeing	Enhance	Everyday Versions of Enhance	Healthy Fizz	Electrolyte Sparkling Drinks	Enhancing Wellspans	Elevated Water Functionality	
Dry Beverage Mixes	NRTD Effervescent Tablet Drinks	23.6	15.60%	31.55	19.60%		Enhance	Conscious Wellbeing	Selfcare Sips	Enhance	Specificity	Gut Health × Occasions	Post-Heavy-Meal Digestive Drinks	Targeted Health Support	Digestive Relief	
